case_id,arm_id,R,a,is_baseline_point,availability,discount_rate,lcoe,lcoe_1cfe,wall_load,p_fus,plasma_volume,beta,total_capital,magnet_capital,overnight_capital,cas72,fuel,beta_ok,net_positive,peak_field_ok,recirc_ok,tbr_ok,wall_load_ok,feasible
20260829-p-pump-fence:c0000,arm-package-default,4.0,1.25,False,0.85,0.07,3429.246546871127,3359.2250382989087,3.00222482776248,800.2308847960937,123.7594972662782,0.026834157382368398,5164691157.4629545,1958450009.6258233,5164691157.4629545,19605249.41951781,156428.34889863592,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0001,arm-package-default,4.0,1.3,False,0.85,0.07,1712.733699014956,1678.1277694383386,3.1312347175040456,865.5297249954552,133.85827224320653,0.026834157382368398,5314783131.584885,1991644077.5855827,5314783131.584885,21533146.296081077,169192.90216876467,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0002,arm-package-default,4.0,1.35,False,0.85,0.07,1153.1010312488809,1129.9922041556458,3.2602919329571804,933.3893040261639,144.3530776113869,0.026834157382368398,5465974176.454203,2024838145.5453432,5465974176.454203,23557587.97033514,182458.02615536898,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0003,arm-package-default,4.0,1.4,False,0.85,0.07,875.1475188502668,857.730145549434,3.3893917415507295,1003.80962188822,155.24391337081937,0.026834157382368398,5619086262.838266,2058032213.5051022,5619086262.838266,25679041.260659512,196223.7208584489,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0004,arm-package-default,4.0,1.45,False,0.85,0.07,708.8421912749525,694.8206404218896,3.5185300213678774,1076.7906785816238,166.53077952150394,0.026834157382368398,5774440984.450274,2091226281.4648623,5774440984.450274,27897963.15737873,210489.98627800454,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0005,arm-package-default,4.0,1.5,False,0.85,0.07,600.3611678274993,588.5948599266228,3.6477031657314125,1152.332474106375,178.2136760634406,0.026834157382368398,5932203399.818212,2124420349.4246216,5932203399.818212,32789241.324891042,225256.8224140357,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0006,arm-package-default,4.0,1.55,False,0.85,0.07,521.2135953808378,511.05340452263056,3.776908005137119,1230.4350084624741,190.2926029966294,0.026834157382368398,6092471054.911548,2157614417.3843813,6092471054.911548,35523167.86858327,240524.22926654268,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0007,arm-package-default,4.0,1.6,False,0.85,0.07,461.8903077800723,452.9316869698806,3.906141742963626,1311.0982816499204,202.76756032107025,0.026834157382368398,6255306954.964641,2190808485.344141,6255306954.964641,38377565.74907702,256292.20683552523,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0008,arm-package-default,4.0,1.65,False,0.85,0.07,415.7752452943203,407.74907843333557,4.035401902203437,1394.3222936687137,215.63854803676313,0.026834157382368398,6420754407.933437,2224002553.303901,6420754407.933437,41353141.817766234,272560.75512098323,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0009,arm-package-default,4.0,1.7,False,0.85,0.07,378.90343428096935,371.6216653888963,4.164686281072113,1480.107044518855,228.90556614370814,0.026834157382368398,6588844606.982832,2257196621.2636604,6588844606.982832,44450582.04779857,289329.87412291695,satisfied,satisfied,satisfied,violated,satisfied,violated,False
20260829-p-pump-fence:c0010,arm-package-default,4.5,1.15,False,0.85,0.07,9671.953007591324,9471.373733855056,2.744369741755616,761.9798485028404,117.84379329695008,0.026834157382368398,5415733029.643308,2128569607.9195917,5415733029.643308,16528464.020763008,148951.07382128114,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0011,arm-package-default,4.5,1.2,False,0.85,0.07,2493.3835145429293,2442.5347481760673,2.873267724391513,829.6793813565899,128.31384676567723,0.026834157382368398,5580985970.600362,2165912934.374322,5580985970.600362,20319354.86239558,162184.91213810572,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0012,arm-package-default,4.5,1.25,False,0.85,0.07,1450.6629014613404,1421.3518631999011,3.0022248277624795,900.2597453956054,139.22943442456295,0.026834157382368398,5745966113.849024,2203256260.8290515,5745966113.849024,22449954.683745395,175981.8925109654,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0013,arm-package-default,4.5,1.3,False,0.85,0.07,1031.5681184524828,1010.8818154473388,3.1312347175040447,973.720940619887,150.59055627360732,0.026834157382368398,5912835962.293084,2240599587.2837806,5912835962.293084,24695250.398655906,190342.01493986018,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
