case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,beta_ok_record,beta_ok_forced,cond_strain_ok_record,cond_strain_ok_forced,net_positive_record,net_positive_forced,peak_field_ok_record,peak_field_ok_forced,recirc_ok_record,recirc_ok_forced,sustainment_ok_record,sustainment_ok_forced,wall_load_ok_record,wall_load_ok_forced,wp_stress_ok_record,wp_stress_ok_forced,p_aux_required_forced,W_th_forced,tau_E_forced,lcoe_forced,wall_load_peak_forced,beta_forced,p_fus_forced,p_aux_required_record,lcoe_record,feasible_record,feasible_forced,ignited_record,ignited_forced,feasible_driven_record,feasible_driven_forced,error
20260904-wall-and-heating:c0012,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,44.91445135629709,415.7521384703485,1.2261396726556617,326.7985369022732,3.7963503690244518,0.027364624960037075,2231.9750201088636,115.9430586703254,309.60818078513955,False,True,False,False,False,True,
20260904-wall-and-heating:c0013,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,29.68844792960124,465.90287215517725,1.2078266277731384,267.3734394402824,4.631584936267995,0.03066552444261163,2723.031563580133,107.43002505084416,254.64311450400518,False,False,False,False,False,False,
20260904-wall-and-heating:c0014,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,12.045226824453493,515.7984401206326,1.1919329392926217,229.75373998016275,5.5234717792423496,0.03394962902849845,3247.395481759281,95.85257634662162,220.94898265249475,False,False,False,False,False,False,
20260904-wall-and-heating:c0015,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.036e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,74.58624026788885,333.069745703328,1.164581373370603,540.3830285413007,2.5978025483065057,0.02192250582339825,1527.3169837812527,139.427307812352,504.98993900321886,False,False,False,False,False,False,
20260904-wall-and-heating:c0016,arm-fence-p100,100.0,11.2,1.3,13000000.0,3.542e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,63.19211350998734,386.80102558173184,1.1409671216951711,371.56573957864146,3.390575671146581,0.025459075299396682,1993.4093184693809,137.46974405015203,353.1505093180821,False,False,False,False,False,False,
20260904-wall-and-heating:c0017,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.048e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,47.439655864717054,440.199047726562,1.121314283169444,290.42248593410926,4.2585445023510395,0.028973709896291836,2503.711203481976,130.4387991842387,276.5424209705028,False,False,False,False,False,False,
20260904-wall-and-heating:c0018,arm-fence-p100,100.0,11.2,1.3,13000000.0,4.554e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,27.960171623728343,493.2982867268553,1.1045684029080634,242.05928057332082,5.19540768934709,0.03246867871654249,3054.5179065977636,118.9569450604638,231.52658260145162,False,False,False,False,False,False,
20260904-wall-and-heating:c0019,arm-fence-p100,100.0,11.2,1.3,13000000.0,5.06e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,5.299182630881546,546.1273274665804,1.0900347965409376,210.85002897333496,6.195804256275214,0.03594586320478103,3642.677567993827,103.57198820842063,203.5470262079939,False,False,False,False,False,False,
20260904-wall-and-heating:c0020,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.036e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,41.76780049091633,269.4137352643174,1.9035693839924501,1953.871982908207,1.599688430967056,0.015289925702670376,940.4992350042534,71.78656748462285,1617.664392018974,False,False,False,False,False,False,
20260904-wall-and-heating:c0021,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.542e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,39.41679634130736,312.78028536909625,1.865862788504633,863.1700735832491,2.0803569003138027,0.017751089490153867,1223.096970263233,73.24814297338168,777.5673579776335,False,False,False,False,False,False,
