case_id,arm_id,I_coil_A,n_e0,j_wp,p_input_MW,source,p_net_MW,rec_frac,q_eng,p_aux_required_MW,p_input_installed_MW,tau_E_s,p_rad_MW,n_He0,n_D0,W_th_MJ,eps_cond,sigma_wp_Pa,B_peak_T,cryo_cost_USD,aux_cost_USD,magnet_capital_USD,wall_load,beta_limit,wall_load_limit,B_max_T,sigma_allow_Pa,recirc_threshold,eps_cond_allow
20260903-priced-levers:c0000,arm-fence-p50,15000000.0,5.06e+20,90.0,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,766.6272510092793,0.3187649700333816,3.137107568297979,102.67457725061354,50.0,1.3650275222435873,227.66978050350951,5.5642562871021945e+19,1.9735743712897807e+20,552.7300536876538,0.001812638935142721,543791680.5428163,24.253246753246746,17992057.488479506,3717369.51164325,5262159272.727273,3.17475689046187,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-priced-levers:c0004,arm-fence-p50,15000000.0,5.06e+20,90.0,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1153.7829335717763,0.24316231455156034,4.112479361138665,91.06562622731553,50.0,1.0811875717098922,224.11848622325283,5.6666116905042625e+19,1.9633388309495736e+20,641.5647947382779,0.001812638935142721,543791680.5428163,24.253246753246746,17992057.488479506,5035815.537520922,5262159272.727273,4.352142233387366,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-priced-levers:c0008,arm-fence-p50,15000000.0,5.06e+20,90.0,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1327.9978954249634,0.22069590270473896,4.531121727882115,96.54975642725606,50.0,0.9887557664743567,224.41074436478522,5.6686150557779845e+19,1.9631384944222015e+20,679.2892845073577,0.001812638935142721,543791680.5428163,24.253246753246746,17992057.488479506,5629098.897288439,5262159272.727273,4.881950142305647,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-priced-levers:c0012,arm-fence-p50,15000000.0,5.06e+20,90.0,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1507.5936743805676,0.20200714431410768,4.950319967124858,109.03831462144285,50.0,0.9083266138000012,225.5446370816858,5.6521449044037e+19,1.96478550955963e+20,717.1544137146741,0.001812638935142721,543791680.5428163,24.253246753246746,17992057.488479506,6240706.45386924,5262159272.727273,5.428121740237654,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-priced-levers:c0001,arm-fence-p50,15000000.0,5.5660000000000007e+20,90.0,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,947.6968555417633,0.2776804460998225,3.6012618606947675,100.74044398754893,50.0,1.34866620600889,273.20551433284004,6.4511012546273935e+19,2.137889874537261e+20,606.0437640090323,0.001812638935142721,543791680.5428163,24.253246753246746,17992057.488479506,4333996.133065907,5262159272.727273,3.725410562945286,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-priced-levers:c0005,arm-fence-p50,15000000.0,5.5660000000000007e+20,90.0,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1401.2069067397558,0.21260824498799297,4.70348645254315,74.41265729797806,50.0,1.068288863656472,267.9931746288841,6.567024868647925e+19,2.126297513135208e+20,703.4216182596334,0.001812638935142721,543791680.5428163,24.253246753246746,17992057.488479506,5878409.793069596,5262159272.727273,5.104587238374072,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-priced-levers:c0009,arm-fence-p50,15000000.0,5.5660000000000007e+20,90.0,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1605.5245855588728,0.19328145740429983,5.173802047178445,74.49204694030607,50.0,0.9769608528664311,267.89615266980564,6.569292941147269e+19,2.1260707058852735e+20,744.7828135015244,0.001812638935142721,543791680.5428163,24.253246753246746,17992057.488479506,6574206.9717978975,5262159272.727273,5.725941001671489,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-priced-levers:c0013,arm-fence-p50,15000000.0,5.5660000000000007e+20,90.0,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1816.328292357813,0.17720687559907883,5.6431218970444865,82.13990661339699,50.0,0.8974830423807979,268.7764162841568,6.5506455919902106e+19,2.1279354408009794e+20,786.3032385637332,0.001812638935142721,543791680.5428163,24.253246753246746,17992057.488479506,7292092.106867505,5262159272.727273,6.367019528471544,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-priced-levers:c0002,arm-fence-p50,15000000.0,6.072e+20,90.0,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1138.5798256483913,0.2453766216012786,4.075367871128882,98.34446012266915,50.0,1.3340905989346825,322.99960160163215,7.3757348210994086e+19,2.298426517890059e+20,659.1333984181782,0.001812638935142721,543791680.5428163,24.253246753246746,17992057.488479506,4984041.8502798965,5262159272.727273,4.305907818545687,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-priced-levers:c0006,arm-fence-p50,15000000.0,6.072e+20,90.0,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1661.9075049394173,0.18864789291254902,5.300880834452613,55.466132538678494,50.0,1.0567962755286486,315.9352695596199,7.505364285714162e+19,2.2854635714285837e+20,765.0171181073715,0.001812638935142721,543791680.5428163,24.253246753246746,17992057.488479506,6766217.161323296,5262159272.727273,5.897408000245859,0.05,4.05,24.9,800000000.0,0.5,0.004
