case_id,arm_id,eta_source_heat,p_wallplug_heat_MW,I_coil_A,n_e0,T_i0_keV,is_baseline_point,R,a,j_wp,eta_couple_heat,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,beta,B_axis,B_peak,sigma_wp,eps_cond,heating_capital,total_capital,magnet_capital,overnight_capital,cas72,fuel,p_cryo,vol_cold,beta_ok,cond_strain_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible,wall_load_shadow_lo,wall_load_ok_shadow_lo,wall_load_shadow_hi,wall_load_ok_shadow_hi,feasible_shadow_lo
20260903-wall-and-heating:c0638,arm-couple-132,0.75,176.0,14250000.0,5.06e+20,16.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,255.97015169444538,251.11526454523232,3513.736419292436,4.003677491863302,0.03448494425358267,8.327922077922077,23.040584415584412,578568216.2285539,0.0019285607207618462,697342800.0,15677882071.384748,5001772909.090908,15677882071.384748,150847897.32182425,686861.750749568,0.839010409090909,126.36233766233764,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,4.604229115642797,violated,7.326729810109843,violated,False
20260903-wall-and-heating:c0637,arm-couple-132,0.7,188.57142857142858,14250000.0,5.06e+20,16.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,259.06492624792264,254.15037767536742,3513.736419292436,4.003677491863302,0.03448494425358267,8.327922077922077,23.040584415584412,578568216.2285539,0.0019285607207618462,697342800.0,15668976731.159113,5001772909.090908,15668976731.159113,150847897.32182425,686861.750749568,0.839010409090909,126.36233766233764,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,4.604229115642797,violated,7.326729810109843,violated,False
20260903-wall-and-heating:c0636,arm-couple-132,0.65,203.07692307692307,14250000.0,5.06e+20,16.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,262.73554202627366,257.7502204344502,3513.736419292436,4.003677491863302,0.03448494425358267,8.327922077922077,23.040584415584412,578568216.2285539,0.0019285607207618462,697342800.0,15658691221.015146,5001772909.090908,15658691221.015146,150847897.32182425,686861.750749568,0.839010409090909,126.36233766233764,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,4.604229115642797,violated,7.326729810109843,violated,False
20260903-wall-and-heating:c0635,arm-couple-132,0.55,239.99999999999997,14250000.0,5.06e+20,16.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,272.5942657755351,267.41880406682395,3513.736419292436,4.003677491863302,0.03448494425358267,8.327922077922077,23.040584415584412,578568216.2285539,0.0019285607207618462,697342800.0,15632459531.293936,5001772909.090908,15632459531.293936,150847897.32182425,686861.750749568,0.839010409090909,126.36233766233764,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,4.604229115642797,violated,7.326729810109843,violated,False
20260903-wall-and-heating:c0634,arm-couple-132,0.5,264.0,14250000.0,5.06e+20,16.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,279.4323198806024,274.12493136904976,3513.736419292436,4.003677491863302,0.03448494425358267,8.327922077922077,23.040584415584412,578568216.2285539,0.0019285607207618462,697342800.0,15615368717.733957,5001772909.090908,15615368717.733957,150847897.32182425,686861.750749568,0.839010409090909,126.36233766233764,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,4.604229115642797,violated,7.326729810109843,violated,False
20260903-wall-and-heating:c0633,arm-couple-132,0.45,293.3333333333333,14250000.0,5.06e+20,16.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,288.2973161174061,282.8188428828436,3513.736419292436,4.003677491863302,0.03448494425358267,8.327922077922077,23.040584415584412,578568216.2285539,0.0019285607207618462,697342800.0,15594434982.352907,5001772909.090908,15594434982.352907,150847897.32182425,686861.750749568,0.839010409090909,126.36233766233764,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,4.604229115642797,violated,7.326729810109843,violated,False
20260903-wall-and-heating:c0632,arm-couple-132,0.4,330.0,14250000.0,5.06e+20,16.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,300.2476282197124,294.53843853045095,3513.736419292436,4.003677491863302,0.03448494425358267,8.327922077922077,23.040584415584412,578568216.2285539,0.0019285607207618462,697342800.0,15568195018.834028,5001772909.090908,15568195018.834028,150847897.32182425,686861.750749568,0.839010409090909,126.36233766233764,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,4.604229115642797,violated,7.326729810109843,violated,False
20260903-wall-and-heating:c0631,arm-couple-132,0.35,377.14285714285717,14250000.0,5.06e+20,16.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,317.23405731096096,311.19675846926805,3513.736419292436,4.003677491863302,0.03448494425358267,8.327922077922077,23.040584415584412,578568216.2285539,0.0019285607207618462,697342800.0,15534331768.53614,5001772909.090908,15534331768.53614,150847897.32182425,686861.750749568,0.839010409090909,126.36233766233764,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,4.604229115642797,violated,7.326729810109843,violated,False
20260903-wall-and-heating:c0000,arm-fence-p100,0.4,100.0,14000000.0,4.554e+20,14.63,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,323.4006724043803,317.0378754680074,2454.7531303484743,2.7970338930648215,0.02956271795812488,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,13271608876.606146,4914977454.545455,13271608876.606146,73737352.57534924,479852.7355414616,0.8335014545454544,124.1454545454545,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,3.2165889770245446,satisfied,5.118572024308624,violated,False
20260903-wall-and-heating:c0001,arm-fence-p100,0.4,100.0,14000000.0,5.06e+20,14.63,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,269.9035980894698,264.70522057591376,2942.422791178594,3.3527022220293854,0.03274217242781974,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,13941749455.947348,4914977454.545455,13941749455.947348,106895059.24672593,575181.9227810316,0.8335014545454544,124.1454545454545,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,3.8556075553337927,satisfied,6.135445066313776,violated,False
