arm_id,B,density_scale,lcoe,lcoe_1cfe,beta,B_peak,p_fus,wall_load,magnet_capital,p_cryo,total_capital,cas72,fuel,beta_ok,net_positive,peak_field_ok,recirc_ok,tbr_ok,wall_load_ok,feasible
arm-nb3sn,3.0,0.36,2825.499481022809,2766.5060013349575,0.0869426699188736,8.3,356.1481712411299,0.40580801938852423,295095264.1622638,7.008274999999999,2452871652.4934406,0.0,69619.49538440327,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.38,1353.5931578455873,1325.7297802692378,0.09177281824769992,8.3,396.81941301866635,0.4521502932075841,295095264.1622638,7.008274999999999,2543796359.365743,0.0,77569.86985731353,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.4,899.8842921808067,881.5420995599039,0.09660296657652623,8.3,439.68910029769125,0.5009975548006472,295095264.1622638,7.008274999999999,2635761397.2251434,0.0,85949.99430173244,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.41,773.0991430881808,757.4045662120824,0.0990180407409394,8.3,461.94836100026185,0.5263605560124299,295095264.1622638,7.008274999999999,2682346753.8278165,0.0,90301.21276325763,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.42,678.7601842182814,665.03027249433,0.10143311490535256,8.3,484.7572330782045,0.5523498041677134,295095264.1622638,7.008274999999999,2729379838.77566,0.0,94759.86871766,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.43,605.8025034341459,593.5880765899295,0.10384818906976571,8.3,508.1157165315195,0.578965299266498,295095264.1622638,7.008274999999999,2776879781.2649436,0.0,99325.96216493957,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.44,547.6835666660876,536.6734565163558,0.10626326323417884,8.3,532.0238113602064,0.6062070413087831,295095264.1622638,7.008274999999999,2824859334.64858,0.0,103999.49310509626,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.45,500.28581366733135,490.255584458184,0.108678337398592,8.3,556.4815175642655,0.634075030294569,295095264.1622638,7.008274999999999,2873327166.2721243,0.0,108780.46153813013,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.46,460.8877917420036,451.6702538133642,0.11109341156300517,8.3,581.4888351436966,0.6625692662238559,295095264.1622638,7.008274999999999,2922289210.0311546,0.0,113668.86746404116,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.47,427.61831835258414,419.0855910709883,0.11350848572741833,8.3,607.0457640985,0.6916897490966435,295095264.1622638,7.008274999999999,2971749509.8250623,0.0,118664.71088282936,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.48,403.69324837483657,395.745338102077,0.11592355989183149,8.3,633.1523044286753,0.7214364789129318,295095264.1622638,7.008274999999999,3021710768.6028886,3943656.140497649,123767.99179449471,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.49,379.14698946750514,371.7042351255294,0.11833863405624465,8.3,659.808456134223,0.7518094556727213,295095264.1622638,7.008274999999999,3072174718.3896427,4370824.147263338,128978.71019903726,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.5,357.7049257967003,350.7028401268957,0.12075370822065778,8.3,687.0142192151426,0.7828086793760113,295095264.1622638,7.008274999999999,3123142376.8855195,4819307.233841097,134296.86609645694,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.0,0.51,338.81348071037826,332.19912989359466,0.12316878238507095,8.3,714.7695936714342,0.8144341500228018,295095264.1622638,7.008274999999999,3174614229.690882,5288459.352685267,139722.45948675383,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.52,322.0432741120397,315.7726762242268,0.12558385654948412,8.3,743.0745795030982,0.8466858676130938,295095264.1622638,7.008274999999999,3226590362.330544,5777603.768238416,145255.49036992784,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.53,307.0561251878331,301.09234175815834,0.12799893071389726,8.3,771.9291767101341,0.879563832146886,295095264.1622638,7.008274999999999,3279070557.5444546,6286042.321072826,150895.958745979,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.54,293.58205076293325,287.893761056031,0.13041400487831042,8.3,801.3333852925423,0.9130680436241794,295095264.1622638,7.008274999999999,3332054368.0275884,6813063.517622105,156643.86461490733,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.55,281.40289500137993,275.96331355953026,0.13282907904272362,8.3,831.2872052503228,0.9471985020449739,295095264.1622638,7.008274999999999,3385541171.491234,7357949.520945526,162499.20797671296,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.56,270.34046125087497,265.1265040818485,0.13524415320713673,8.3,861.7906365834752,0.981955207409269,295095264.1622638,7.008274999999999,3439530212.7856174,7919982.128217568,168461.9888313957,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.57,260.24776411164737,255.23939799779993,0.13765922737154987,8.3,892.8436792919989,1.0173381597170637,295095264.1622638,7.008274999999999,3494020636.4164934,8498447.825469842,174532.20717895537,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.58,251.00248437573802,246.18221307797296,0.14007430153596304,8.3,924.446333375896,1.0533473589683608,295095264.1622638,7.008274999999999,3549011511.8391657,9092642.01094014,180709.86301939248,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.59,242.50200540070512,237.85445959550063,0.14248937570037618,8.3,956.5985988351645,1.089982805163158,295095264.1622638,7.008274999999999,3604501853.260691,9701872.476338495,186994.9563527066,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.6,234.65960214862315,230.17120894473888,0.14490444986478934,8.3,989.3004756698052,1.1272444983014562,295095264.1622638,7.008274999999999,3660490635.22448,10325462.231322894,193387.48717889798,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.62,220.66446361051035,216.45954736166294,0.14973459819361568,8.3,1056.3530634652031,1.2036466254085547,295095264.1622638,7.008274999999999,3773959291.9806786,11613100.721691828,206494.86130991223,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.64,208.54339698424013,204.5833561290712,0.15456474652244198,8.3,1125.6040967620897,1.282553740289657,295095264.1622638,7.008274999999999,3889408893.6283336,12950519.293652205,220031.98541243508,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.66,197.94188452833174,194.19544577051153,0.15939489485126832,8.3,1197.0535755604644,1.363965842944762,295095264.1622638,7.008274999999999,4006830782.9393716,14333020.487597678,233998.8594864666,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.68,190.80260278468427,187.244081914888,0.16422504318009465,8.3,1270.7014998603279,1.4478829333738708,295095264.1622638,7.008274999999999,4126216378.2560897,21613283.553824067,248395.4835320068,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.7,182.6434332223761,179.25148243316983,0.1690551915089209,8.3,1346.547869661679,1.5343050115769814,295095264.1622638,7.008274999999999,4247557263.744063,23982862.625298966,263221.85754905554,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.72,175.3520167499697,172.1087038541886,0.1738853398377472,8.3,1424.5926849645195,1.623232077554097,295095264.1622638,7.008274999999999,4370845244.475706,26448838.717731282,278477.9815376131,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.74,168.79565930348303,165.68577868732234,0.17871548816657354,8.3,1504.8359457688484,1.7146641313052153,295095264.1622638,7.008274999999999,4496072378.376246,29005146.104032435,294163.8554976793,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.76,162.86719333947292,159.87774205644047,0.18354563649539984,8.3,1587.2776520746654,1.8086011728303364,295095264.1622638,7.008274999999999,4623230992.844366,31645886.400712468,310279.47942925413,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.78,157.47915974737955,154.59893346104317,0.18837578482422618,8.3,1671.917803881971,1.905043202129461,295095264.1622638,7.008274999999999,4752313691.202655,34365375.38313802,326824.85333233763,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
