arm_id,sweep,R,a,availability,discount_rate,eta_th,lcoe,wall_load,p_fus,plasma_volume,total_capital,magnet_capital,overnight_capital,lcoe_1cfe,p_net,rec_frac,q_eng,p_th,p_et,cas72,turbine_cost,heat_rejection_cost,bop_capital,beta,beta_ok,net_positive,peak_field_ok,recirc_ok,tbr_ok,wall_load_ok,feasible
arm-rankine-paper,grid,4.0,0.8,0.85,0.07,0.333,7154.770527377628,1.8445669341772681,327.7745704124801,50.69189008026756,4050146248.11443,1659703397.9879854,4050146248.11443,7004.4287301993445,,,,,,4800668.808168959,29092183.815157246,15100467.721114127,64127194.173170924,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.0,0.85,0.85,0.07,0.333,2558.537787424664,1.9727461331394216,370.02676112971375,57.226391535927036,4174660378.597477,1692897465.947745,4174660378.597477,2505.4174830616594,,,,,,5555097.8540230775,32402641.328907974,16818780.00547649,71424355.264107,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.0,0.9,0.85,0.07,0.333,1566.0745953083785,2.1010770234612943,414.8396906782951,64.15692338283863,4300131258.864947,1726091533.9075053,4300131258.864947,1533.8320526651255,,,,,,6360972.3549755905,35913732.63137089,18641232.428285066,79163768.54237257,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.0,0.95,0.85,0.07,0.333,1135.0127588158143,2.2295379349486395,462.2133590582238,71.48348562100229,4427624182.091201,1759285601.867265,4427624182.091201,1111.8651657653115,,,,,,8526151.001450984,39625457.72254595,20567824.98953984,87345434.00796759,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.0,1.0,0.85,0.07,0.333,891.224101904351,2.3581111374425294,512.1477662695,79.20607825041805,4557464846.787643,1792479669.8270247,4557464846.787643,873.1617108464858,,,,,,9686133.07582155,43537816.60243318,22598557.689240817,95969351.66089204,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.0,1.05,0.85,0.07,0.333,735.2544227098972,2.486781984289937,564.6429123121237,87.3247012710859,4689801766.228406,1825673737.786784,4689801766.228406,720.4361679772697,,,,,,10920981.297342556,47650809.27103258,24733430.527388,105035521.50114597,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.0,1.1,0.85,0.07,0.333,626.9478228198006,2.6155382699466725,619.6987971860951,95.83935468300585,4824715835.59073,1858867805.7465441,4824715835.59073,614.3765380628174,,,,,,12230662.58235284,51964435.72834417,26972443.503981397,114543943.52872941,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.0,1.15,0.85,0.07,0.333,547.3977314147712,2.744369741755615,677.3154208914136,104.75003848617786,4962256041.090106,1892061873.7063038,4962256041.090106,536.4729298969326,,,,,,13615174.237186592,56478695.97436787,29315596.619020976,124494617.7436422,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.0,1.2,0.85,0.07,0.333,487.9489402040046,2.8732677243915132,737.4927834280801,114.05675268060199,5102454280.335256,1925255941.6660635,5102454280.335256,478.28117852760164,,,,,,16783386.329586864,61193590.0091038,31762889.872506782,134887544.14588457,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.0,1.25,0.85,0.07,0.333,439.91846326388367,3.00222482776248,800.2308847960937,123.7594972662782,5245332488.985716,1958450009.6258233,5245332488.985716,431.2409125960053,,,,,,18587225.701257464,66109117.83255185,34314323.26443878,145722722.73545632,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
